STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2012-03-19,2012-05-01,13.0,8.0,1.625
2012-03-26,2012-05-08,13.000655713541706,9.0,1.444517301504634
2012-04-02,2012-05-15,13.02398081211894,12.0,1.0853317343432451
2012-04-09,2012-05-22,13.07996542029033,12.0,1.0899971183575274
2012-04-16,2012-05-29,13.168412972240322,12.0,1.0973677476866934
2012-04-23,2012-06-05,13.289099398086712,12.0,1.1074249498405593
2012-04-30,2012-06-12,13.441768138941528,12.0,1.120147344911794
2012-05-07,2012-06-19,13.626124037006676,13.0,1.048163387462052
2012-05-14,2012-06-26,13.841825792942345,13.01864481836038,1.063230926572405
2012-05-21,2012-07-03,14.0884765826088,13.069975230259473,1.0779268005031335
2012-05-28,2012-07-10,14.365612286935802,13.153798246490831,1.092126549133309
2012-06-04,2012-07-17,14.67268659520278,13.269894008503806,1.105712418335822
2012-06-11,2012-07-24,15.009051967880824,13.418010943592188,1.1185750280706428
2012-06-18,2012-07-31,15.373935051214158,13.597859832583964,1.1306143202310603
2012-06-25,2012-08-07,15.766404560720986,13.809106494171884,1.141739660518599
2012-07-02,2012-08-14,16.18532879737874,14.051362694315634,1.1518689787949454
2012-07-09,2012-08-21,16.629318670120114,14.324174757138346,1.1609268214095905
2012-07-16,2012-08-28,17.09665010811355,14.627009169463413,1.1688411424398344
2012-07-23,2012-09-04,17.585156607038723,14.95923421053783,1.1755385576255701
2012-07-30,2012-09-11,18.09207757743913,15.320096264748914,1.1809375910429796
2012-08-06,2012-09-18,18.6138397247296,15.708688930917447,1.1849391000476373
2012-08-13,2012-09-25,19.145734218282186,16.123912236020406,1.1874124553662049
2012-08-20,2012-10-02,19.68142669402575,16.564418046467505,1.1881749566338053
2012-08-27,2012-10-09,20.212189563754198,17.02853590185659,1.1869599171794036
2012-09-03,2012-10-16,20.725653875349394,17.514170559036053,1.1833648533619223
2012-09-10,2012-10-23,21.20368907615041,18.01865780264753,1.1767629591719586
2012-09-17,2012-10-30,21.61860607342433,18.538557245077588,1.1661428550037014
2012-09-24,2012-11-06,21.925901805364266,19.069347467475364,1.1497982216098916
2012-10-01,2012-11-13,22.049212278778946,19.604965222952274,1.1246748988345616
2012-10-08,2012-11-20,22.049212278778946,20.13708697199349,1.0949554078722918
2012-10-15,2012-11-27,22.049212278778946,20.65396737797365,1.0675533603434102
2012-10-22,2012-12-04,22.049212278778946,19.0,1.1604848567778392
2012-10-29,2012-12-11,22.049212278778946,15.0,1.4699474852519296
2012-11-05,2012-12-18,22.049212278778946,13.0,1.696093252213765
2012-11-12,2012-12-25,22.049212278778946,12.5,1.7639369823023157
2012-11-19,2013-01-01,21.903381382818125,12.0,1.8252817819015104
2012-11-26,2013-01-08,21.190414290708553,9.0,2.354490476745395
2012-12-03,2013-01-15,19.343555632910885,9.0,2.1492839592123207
2012-12-10,2013-01-22,16.0,9.0,1.7777777777777777
2012-12-17,2013-01-29,14.0,9.0,1.5555555555555556
2012-12-24,2013-02-05,13.0,9.0,1.4444444444444444
2012-12-31,2013-02-12,13.0,8.0,1.625
2013-01-07,2013-02-19,11.0,8.0,1.375
2013-01-14,2013-02-26,11.0,8.0,1.375
2013-01-21,2013-03-05,10.0,8.0,1.25
2013-01-28,2013-03-12,10.0,7.0,1.4285714285714286
2013-02-04,2013-03-19,10.0,7.0,1.4285714285714286
2013-02-11,2013-03-26,9.0,7.0,1.2857142857142858
2013-02-18,2013-04-02,9.0,7.0,1.2857142857142858
2013-02-25,2013-04-09,10.0,7.0,1.4285714285714286
2013-03-04,2013-04-16,11.0,7.0,1.5714285714285714
2013-03-11,2013-04-23,12.0,7.0,1.7142857142857142
2013-03-18,2013-04-30,13.0,7.0,1.8571428571428572
2013-03-25,2013-05-07,13.0,8.0,1.625
2013-04-01,2013-05-14,13.0,9.0,1.4444444444444444
2013-04-08,2013-05-21,13.0,9.0,1.4444444444444444
2013-04-15,2013-05-28,13.0,10.555555533333333,1.2315789499612189
2013-04-22,2013-06-04,13.0,10.555555533333333,1.2315789499612189
2013-04-29,2013-06-11,13.0,10.555555533333333,1.2315789499612189
2013-05-06,2013-06-18,13.0,11.660145656838214,1.1149088855829186
2013-05-13,2013-06-25,13.0,11.542743215161474,1.1262487398077443
2013-05-20,2013-07-02,11.98986412987991,11.423294574014538,1.0495977366419484
2013-05-27,2013-07-09,11.946928778722205,11.307902776102353,1.0565114517937264
2013-06-03,2013-07-16,11.876186437401323,11.202626934825037,1.0601251390852289
2013-06-10,2013-07-23,11.783926439228097,11.113482628818259,1.0603270669332148
2013-06-17,2013-07-30,11.676392507276333,11.046442292249086,1.0570274300413682
2013-06-24,2013-08-06,11.559783167091313,11.007435600920477,1.050179495587932
2013-07-01,2013-08-13,11.440252154925066,10.999872686895957,1.0400349604549268
2013-07-08,2013-08-20,11.32390882155484,9.278960984516264,1.2203854332883786
2013-07-15,2013-08-27,11.216818531740536,9.0,1.246313170193393
2013-07-22,2013-09-03,11.819668350231481,9.0,1.3132964833590535
2013-07-29,2013-09-10,12.70365697729312,9.0,1.4115174419214578
2013-08-05,2013-09-17,12.70365697729312,9.0,1.4115174419214578
2013-08-12,2013-09-24,12.70365697729312,9.0,1.4115174419214578
2013-08-19,2013-10-01,12.70365697729312,9.0,1.4115174419214578
2013-08-26,2013-10-08,12.70365697729312,9.827095001979846,1.292717428165062
2013-09-02,2013-10-15,12.70365697729312,10.927449741139743,1.1625454500574182
2013-09-09,2013-10-22,12.70365697729312,10.927449741139743,1.1625454500574182
2013-09-16,2013-10-29,12.363762308947045,10.948299013288569,1.129286137868581
2013-09-23,2013-11-05,12.988554987043953,11.042435812125714,1.1762400260258885
2013-09-30,2013-11-12,13.907547361863813,11.166758239049113,1.2454417892948033
2013-10-07,2013-11-19,15.346778887419115,11.335071632384146,1.3539198855676902
2013-10-14,2013-11-26,17.843571234639498,11.561962692705993,1.543299499305281
2013-10-21,2013-12-03,23.0,11.86926843914858,1.9377773885489662
2013-10-28,2013-12-10,24.0,12.291220117101641,1.9526133102609649
2013-11-04,2013-12-17,24.0,12.884690626722186,1.8626756897232157
2013-11-11,2013-12-24,24.0,13.75162318969604,1.745248518588189
2013-11-18,2013-12-31,24.0,15.094708348454652,1.5899611602934376
2013-11-25,2014-01-07,24.0,16.0,1.5
2013-12-02,2014-01-14,24.0,13.0,1.8461538461538463
2013-12-09,2014-01-21,24.0,12.0,2.0
2013-12-16,2014-01-28,20.444444422222226,11.0,1.858585856565657
2013-12-23,2014-02-04,20.444444422222226,9.0,2.2716049358024697
2013-12-30,2014-02-11,19.0,9.0,2.111111111111111
2014-01-06,2014-02-18,19.0,8.0,2.375
2014-01-13,2014-02-25,14.181818161983475,8.0,1.7727272702479344
2014-01-20,2014-03-04,14.0,8.0,1.75
2014-01-27,2014-03-11,14.0,8.0,1.75
2014-02-03,2014-03-18,13.0,8.0,1.625
2014-02-10,2014-03-25,13.0,8.0,1.625
2014-02-17,2014-04-01,14.0,8.0,1.75
2014-02-24,2014-04-08,16.0,8.0,2.0
2014-03-03,2014-04-15,16.0,9.0,1.7777777777777777
2014-03-10,2014-04-22,18.0,12.0,1.5
2014-03-17,2014-04-29,18.0,12.0,1.5
2014-03-24,2014-05-06,18.0,12.0,1.5
