STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2020-03-01,2020-04-13,100.16999922910036,91.40318442325267,54.06818181818182,Normal
2020-03-08,2020-04-20,113.32831991263828,102.05100790878791,77.75,Normal
2020-03-15,2020-04-27,126.16628573862998,108.07675661700294,105.02272727272727,Normal
2020-03-22,2020-05-04,134.26783532550897,108.82743890938846,134.67045454545453,Normal
2020-03-29,2020-05-11,146.51632017402224,114.24629579936186,169.82954545454547,Normal
2020-04-05,2020-05-18,156.86859290129493,118.53789482835927,198.79545454545453,Normal
2020-04-12,2020-05-25,169.1652583260215,121.88923961074939,242.39241803272355,Normal
2020-04-19,2020-06-01,179.30844014420333,123.09430384511421,280.10832712363265,Normal
2020-04-26,2020-06-08,198.73530178827767,134.79361674196272,318.38105439635996,Normal
2020-05-03,2020-06-15,239.51527044020202,161.6917957601196,358.8355998509054,Normal
2020-05-10,2020-06-22,283.0006239755303,186.62670316684927,389.471963487269,Normal
2020-05-17,2020-06-29,338.9216911218951,216.69531872371152,422.3696907599963,Normal
2020-05-24,2020-07-06,393.641839943135,229.55685268989873,449.9378725781781,Normal
2020-05-31,2020-07-13,452.1047945105414,244.17929684790386,462.42045454545456,Normal
2020-06-07,2020-07-20,499.80024905599583,255.60266639878472,468.40909090909093,Normal
2020-06-14,2020-07-27,526.7820995548266,251.70781297343353,477.5,Normal
2020-06-21,2020-08-03,543.8271309029021,239.32955691733852,493.90909090909093,Normal
2020-06-28,2020-08-10,562.1394048704335,216.92107461419837,536.6818181818181,Normal
2020-07-05,2020-08-17,569.1805501077031,200.71115409812074,547.7954545454545,Normal
2020-07-12,2020-08-24,567.8724888653437,191.33868693608719,547.5227272727273,Normal
2020-07-19,2020-08-31,559.4318504988305,171.75820585620747,563.0227272727273,Normal
2020-07-26,2020-09-07,543.5035834534891,155.78068174143914,565.7954545454545,Normal
2020-08-02,2020-09-14,521.0227272727273,142.84091606674752,571.3636363636364,Normal
2020-08-09,2020-09-21,493.45454545454544,135.7091372508303,548.1590909090909,Normal
2020-08-16,2020-09-28,448.4636363636364,135.54065776612083,539.5681818181819,Normal
2020-08-23,2020-10-05,418.01590909090913,133.70154297597134,548.5568181818181,Normal
2020-08-30,2020-10-12,392.22954545454553,138.84910718032174,547.7386363636364,Anomaly
2020-09-06,2020-10-19,377.55134881795163,147.55736174118795,552.7794713624854,Anomaly
2020-09-13,2020-10-26,372.8313010078055,156.56370579325164,556.1203804533945,Anomaly
2020-09-20,2020-11-02,371.188601283177,173.2010812309355,590.0521986352128,Anomaly
2020-09-27,2020-11-09,366.15748382666726,181.4242040329448,604.578429534687,Anomaly
2020-10-04,2020-11-16,364.41512655218224,190.98395563602753,628.7075522531705,Anomaly
2020-10-11,2020-11-23,343.7981086944935,184.81305730880592,613.8776484856103,Anomaly
2020-10-18,2020-11-30,316.31039624017825,166.22534060927134,564.7459043958521,Anomaly
2020-10-25,2020-12-07,287.04908999161165,153.7981438298618,544.9339532620587,Anomaly
2020-11-01,2020-12-14,256.03802627546696,134.77086642355368,483.72940780751327,Anomaly
2020-11-08,2020-12-21,218.72438991183054,112.88821222086408,392.3884987166041,Anomaly
2020-11-15,2020-12-28,190.4458282238332,96.62974755930426,315.48659936786726,Anomaly
2020-11-22,2021-01-04,169.18005413500697,93.23284217705658,253.95679786309637,Normal
2020-11-29,2021-01-11,152.8832674478465,94.3738443166646,218.06698683104258,Normal
2020-12-06,2021-01-18,142.0763432985668,100.9737952235358,204.03226011718246,Normal
2020-12-13,2021-01-25,128.33940595069092,98.77307151976875,163.9464839782486,Normal
2020-12-20,2021-02-01,118.8111429242765,94.46205944620515,139.7873930691577,Normal
2020-12-27,2021-02-08,110.85792439314301,88.79046893171159,118.11248049220475,Normal
2021-01-03,2021-02-15,99.77860751529471,79.70864490996361,100.90717554441738,Normal
2021-01-10,2021-02-22,93.49411797212848,72.68448670879484,94.68145191956782,Normal
2021-01-17,2021-03-01,88.96337053201933,68.00409582238258,85.62008661121591,Normal
2021-01-24,2021-03-08,84.59383707511678,62.863629069675355,71.8523749674477,Normal
2021-01-31,2021-03-15,83.00021716828364,65.17263701448309,67.76636359052796,Normal
2021-02-07,2021-03-22,80.1331849293531,68.46684437244065,65.05647670007546,Normal
