DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2017-08-01,0.008767534928161,0.0,3.0,0.0,3.0,17,20,7,44,47.0,WEST BENGAL,DURGAPUR
2017-08-01,0.0055382592523941,1.0,3.0,0.0,4.0,9,17,6,32,36.0,UTTAR PRADESH,PRATAPGARH
2017-08-01,0.0026947323319684,2.0,1.0,1.0,4.0,7,15,9,31,35.0,WEST BENGAL,KATWA
2017-08-01,0.0084396806260427,4.0,5.0,3.0,12.0,8,6,1,15,27.0,WEST BENGAL,KASIPUR
2017-09-01,0.0,0.0,2.0,0.0,2.0,18,20,11,49,51.0,WEST BENGAL,DURGAPUR
2017-09-01,0.0380625305868913,5.0,3.0,3.0,11.0,10,14,11,35,46.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-09-01,0.0027652370714438,2.0,1.0,1.0,4.0,7,12,13,32,36.0,WEST BENGAL,KATWA
2017-09-01,0.0027178578254124,0.0,2.0,0.0,2.0,8,13,10,31,33.0,UTTAR PRADESH,PRATAPGARH
2017-09-01,0.00340571483647,4.0,5.0,3.0,12.0,11,8,2,21,33.0,WEST BENGAL,KASIPUR
2017-10-01,0.0,0.0,2.0,0.0,2.0,18,20,15,53,55.0,WEST BENGAL,DURGAPUR
2017-10-01,0.1090328344602987,5.0,3.0,4.0,12.0,7,12,15,34,46.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-10-01,0.005073552268068,4.0,5.0,3.0,12.0,11,10,6,27,39.0,WEST BENGAL,KASIPUR
2017-10-01,0.0186544915547315,2.0,1.0,2.0,5.0,7,9,17,33,38.0,WEST BENGAL,KATWA
2017-10-01,0.0007867653892895,0.0,1.0,0.0,1.0,5,9,14,28,29.0,UTTAR PRADESH,PRATAPGARH
2017-11-01,0.0,0.0,2.0,0.0,2.0,14,17,20,51,53.0,WEST BENGAL,DURGAPUR
2017-11-01,0.0088082383675293,6.0,3.0,4.0,13.0,7,12,20,39,52.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-11-01,0.0059873333039789,3.0,5.0,3.0,11.0,11,10,11,32,43.0,WEST BENGAL,KASIPUR
2017-11-01,0.0026354722822277,2.0,1.0,2.0,5.0,3,5,20,28,33.0,WEST BENGAL,KATWA
2017-11-01,0.0021696647254523,0.0,1.0,0.0,1.0,0,4,19,23,24.0,UTTAR PRADESH,PRATAPGARH
2017-12-01,0.0091473601078499,7.0,4.0,4.0,15.0,10,12,20,42,57.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-12-01,0.0,0.0,2.0,0.0,2.0,14,14,20,48,50.0,WEST BENGAL,DURGAPUR
2017-12-01,0.0011749475820464,2.0,4.0,3.0,9.0,8,10,15,33,42.0,WEST BENGAL,KASIPUR
2017-12-01,0.0021033440792941,2.0,1.0,2.0,5.0,2,1,20,23,28.0,WEST BENGAL,KATWA
2017-12-01,0.0025749124618242,0.0,1.0,0.0,1.0,0,0,20,20,21.0,UTTAR PRADESH,PRATAPGARH
2018-01-01,0.0054721832774521,7.0,4.0,4.0,15.0,15,16,21,52,67.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-01-01,0.0,0.0,2.0,0.0,2.0,15,15,21,51,53.0,WEST BENGAL,DURGAPUR
2018-01-01,0.0583801195067229,3.0,5.0,4.0,12.0,4,7,20,31,43.0,WEST BENGAL,KASIPUR
2018-01-01,0.0,1.0,1.0,2.0,4.0,0,0,21,21,25.0,WEST BENGAL,KATWA
2018-01-01,0.0004626270308972,0.0,1.0,0.0,1.0,0,0,21,21,22.0,UTTAR PRADESH,PRATAPGARH
2018-02-01,0.0156002662820585,7.0,4.0,4.0,15.0,19,20,20,59,74.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-02-01,0.0,0.0,1.0,0.0,1.0,14,14,20,48,49.0,WEST BENGAL,DURGAPUR
2018-02-01,0.0205657372711079,4.0,5.0,5.0,14.0,1,3,20,24,38.0,WEST BENGAL,KASIPUR
2018-02-01,0.0025556485445065,0.0,0.0,2.0,2.0,0,0,20,20,22.0,WEST BENGAL,KATWA
2018-02-01,0.0026607705644923,0.0,1.0,0.0,1.0,0,0,20,20,21.0,UTTAR PRADESH,PRATAPGARH
